                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.48791,                0.26325,                0.82578,                0.95694,                0.97008,                0.98526,                0.71156,                0.59183,                0.26584,                0.84363,             0.00092678,             0.00092678,             0.00092678
                     74,                0.47976,                0.25935,                0.82369,                0.91708,                0.99985,                0.98492,                0.72146,                0.55985,                0.25835,                0.83879,              0.0009197,              0.0009197,              0.0009197
                     75,                 0.4844,                0.26278,                0.82247,                0.97199,                0.89312,                0.95185,                0.73412,                0.55459,                0.26945,                0.83728,             0.00091263,             0.00091263,             0.00091263
                     76,                0.47445,                0.25972,                0.82046,                0.95804,                 0.9678,                0.97915,                0.72558,                0.61758,                 0.2678,                0.86148,             0.00090556,             0.00090556,             0.00090556
                     77,                0.44982,                0.24902,                0.81768,                0.99523,                0.92527,                0.97846,                 0.7422,                 0.5619,                0.25712,                0.83943,             0.00089848,             0.00089848,             0.00089848
                     78,                0.46846,                0.25364,                0.82214,                0.96086,                0.95539,                0.97995,                 0.7271,                0.56859,                0.26283,                0.83662,             0.00089141,             0.00089141,             0.00089141
                     79,                0.47295,                0.25527,                  0.821,                0.97686,                0.92897,                0.97259,                0.71642,                0.59469,                0.26221,                0.84059,             0.00088434,             0.00088434,             0.00088434
                     80,                0.45251,                0.24845,                0.81962,                0.96305,                0.90505,                   0.95,                0.72049,                0.54156,                0.25079,                0.83208,             0.00087726,             0.00087726,             0.00087726
                     81,                0.46338,                0.25025,                0.82124,                 0.9736,                 0.9339,                0.97464,                0.74036,                0.54221,                0.25348,                0.83012,             0.00087019,             0.00087019,             0.00087019
                     82,                 0.4626,                0.25268,                0.82245,                 0.9894,                0.89303,                0.94353,                0.72171,                0.51201,                0.24639,                0.82477,             0.00086312,             0.00086312,             0.00086312
                     83,                0.47971,                0.26024,                0.82325,                0.98735,                0.91343,                0.97299,                0.72256,                0.57096,                0.25685,                0.84567,             0.00085604,             0.00085604,             0.00085604
                     84,                0.46471,                0.25423,                 0.8193,                0.99623,                0.93218,                0.97864,                 0.7315,                0.53396,                0.25084,                0.83634,             0.00084897,             0.00084897,             0.00084897
                     85,                0.44649,                0.24621,                 0.8192,                0.93971,                0.95003,                0.97658,                0.71735,                0.51985,                0.24427,                 0.8291,              0.0008419,              0.0008419,              0.0008419
                     86,                0.46796,                0.25467,                0.82051,                0.99215,                0.93152,                0.98296,                0.71841,                0.57056,                0.26398,                0.84877,             0.00083482,             0.00083482,             0.00083482
                     87,                0.47768,                0.25715,                0.82055,                0.93957,                0.93318,                0.94533,                0.71948,                0.52845,                0.24368,                0.82824,             0.00082775,             0.00082775,             0.00082775
                     88,                0.46622,                0.25168,                0.81775,                0.99353,                0.90584,                0.96532,                0.72077,                0.57302,                0.25158,                0.83998,             0.00082067,             0.00082067,             0.00082067
                     89,                0.46507,                0.25017,                0.81932,                0.99932,                0.91008,                0.96997,                0.72691,                0.53437,                0.24419,                0.82979,              0.0008136,              0.0008136,              0.0008136
                     90,                0.43851,                0.23933,                0.81699,                 0.9902,                0.91373,                0.97854,                 0.7367,                0.46634,                0.22711,                0.81857,             0.00080653,             0.00080653,             0.00080653
                     91,                0.43976,                0.24173,                0.81785,                0.99447,                0.91193,                0.97769,                0.72682,                0.49439,                0.23706,                0.82271,             0.00079945,             0.00079945,             0.00079945
                     92,                0.46214,                0.24906,                 0.8214,                0.97774,                0.97586,                0.97362,                 0.7167,                0.53667,                 0.2446,                0.83186,             0.00079238,             0.00079238,             0.00079238
                     93,                0.44349,                0.24513,                0.81725,                0.97907,                0.90093,                0.96583,                0.68723,                0.66824,                0.28323,                0.86803,             0.00078531,             0.00078531,             0.00078531
                     94,                0.45379,                0.25018,                0.81927,                0.95041,                0.97585,                0.97746,                0.75155,                0.55155,                0.24937,                0.83563,             0.00077823,             0.00077823,             0.00077823
                     95,                0.44363,                0.24564,                0.81867,                0.99768,                0.90097,                0.98275,                0.72195,                 0.5753,                0.25374,                0.84307,             0.00077116,             0.00077116,             0.00077116
                     96,                 0.4386,                0.24302,                0.81488,                0.97265,                0.96806,                0.97763,                0.70593,                  0.597,                0.25616,                0.85594,             0.00076409,             0.00076409,             0.00076409
                     97,                0.43991,                0.24313,                0.81599,                0.94755,                0.95541,                 0.9675,                0.72269,                0.55709,                0.25385,                0.83822,             0.00075701,             0.00075701,             0.00075701
                     98,                0.43425,                0.23908,                0.81508,                0.93823,                 0.9345,                 0.9632,                0.73019,                0.53812,                 0.2427,                0.83237,             0.00074994,             0.00074994,             0.00074994
                     99,                0.42786,                0.23611,                0.81504,                0.98304,                0.93822,                 0.9757,                0.71707,                0.61846,                0.25919,                0.85368,             0.00074287,             0.00074287,             0.00074287
                    100,                0.42256,                0.23478,                0.81501,                0.99218,                0.92974,                0.98297,                0.73364,                0.55112,                0.24841,                0.84084,             0.00073579,             0.00073579,             0.00073579
                    101,                0.43229,                0.23905,                0.81551,                0.96818,                0.93183,                0.96869,                0.73685,                0.53718,                0.24761,                 0.8317,             0.00072872,             0.00072872,             0.00072872
                    102,                0.43205,                0.23844,                0.81652,                0.99549,                0.93465,                0.97483,                 0.7221,                0.56868,                0.24938,                0.84496,             0.00072164,             0.00072164,             0.00072164
                    103,                0.42249,                0.23468,                0.81395,                0.97481,                0.94936,                0.96213,                0.73177,                0.51516,                0.23954,                 0.8307,             0.00071457,             0.00071457,             0.00071457
                    104,                0.44099,                 0.2409,                0.81463,                0.95481,                0.97394,                0.98122,                0.73945,                0.55585,                0.25103,                0.84049,              0.0007075,              0.0007075,              0.0007075
                    105,                0.43924,                0.23856,                0.81609,                0.97528,                0.97476,                 0.9838,                0.73386,                0.52364,                0.23739,                0.83259,             0.00070042,             0.00070042,             0.00070042
