               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.036513,              0.2611,            0.001494,             0.99751,             0.33321,             0.39155,             0.32091,            0.028497,             0.22908,           0.0020692,           0.0045055,           0.0045055,           0.0045055
                 113,             0.03723,             0.26069,            0.001514,             0.99749,             0.33305,             0.40032,             0.33301,            0.028317,             0.22321,           0.0020752,            0.004456,            0.004456,            0.004456
                 114,            0.036774,             0.25764,           0.0014999,             0.99716,             0.33317,             0.40819,             0.33524,            0.028315,             0.22959,           0.0020831,           0.0044065,           0.0044065,           0.0044065
                 115,            0.036177,             0.26171,           0.0014861,             0.99696,             0.33317,             0.39543,             0.32813,            0.028371,             0.22042,           0.0020494,            0.004357,            0.004357,            0.004357
                 116,            0.035984,             0.25593,           0.0014712,             0.99689,             0.33317,             0.38857,             0.33017,            0.027948,             0.21957,            0.002034,           0.0043075,           0.0043075,           0.0043075
                 117,            0.036402,             0.25669,           0.0014672,             0.99751,             0.33317,             0.42508,             0.34965,            0.027714,             0.22131,           0.0020183,            0.004258,            0.004258,            0.004258
                 118,            0.036937,             0.25306,            0.001487,             0.99732,             0.33322,             0.43167,             0.35178,            0.028239,             0.22279,           0.0020389,           0.0042085,           0.0042085,           0.0042085
                 119,            0.036453,             0.25361,           0.0014563,             0.99721,             0.33322,             0.41731,             0.34052,            0.028623,             0.22957,           0.0020459,            0.004159,            0.004159,            0.004159
                 120,            0.035324,             0.24977,           0.0014682,             0.99751,             0.33318,             0.41871,             0.34028,             0.02865,             0.22829,            0.002029,           0.0041095,           0.0041095,           0.0041095
                 121,            0.037054,             0.25509,           0.0014447,              0.9972,             0.33317,             0.40072,             0.32904,            0.028255,             0.23001,           0.0020175,             0.00406,             0.00406,             0.00406
                 122,            0.035724,             0.25138,           0.0014385,             0.99712,              0.3331,             0.41784,             0.33829,            0.028384,             0.23063,           0.0019585,           0.0040105,           0.0040105,           0.0040105
                 123,            0.036084,             0.25605,           0.0013959,             0.99742,             0.33311,             0.38716,             0.32628,            0.028005,             0.21557,           0.0018723,            0.003961,            0.003961,            0.003961
                 124,            0.036138,              0.2521,            0.001418,             0.99717,             0.33322,             0.43046,             0.34236,            0.028584,             0.22861,           0.0019451,           0.0039115,           0.0039115,           0.0039115
                 125,            0.036315,             0.25275,           0.0014032,             0.99745,             0.33328,             0.42285,             0.34241,            0.027861,             0.22225,           0.0019815,            0.003862,            0.003862,            0.003862
                 126,            0.035884,             0.24783,            0.001428,             0.99667,             0.33322,             0.45411,             0.35537,            0.028133,             0.22395,           0.0019612,           0.0038125,           0.0038125,           0.0038125
                 127,            0.036021,             0.25533,           0.0014401,              0.9976,             0.33317,             0.44596,             0.35832,             0.02808,             0.22435,           0.0019539,            0.003763,            0.003763,            0.003763
                 128,            0.035899,             0.25654,           0.0013613,             0.99729,             0.33322,             0.46397,             0.37504,            0.027899,             0.21942,           0.0018949,           0.0037135,           0.0037135,           0.0037135
                 129,            0.036685,             0.25029,           0.0013854,             0.99709,             0.33311,             0.45997,             0.37037,            0.028208,             0.23473,           0.0018881,            0.003664,            0.003664,            0.003664
                 130,            0.035155,             0.24801,            0.001305,             0.99754,             0.33311,              0.4679,             0.37566,            0.028129,             0.23012,            0.001876,           0.0036145,           0.0036145,           0.0036145
                 131,            0.035268,             0.24981,            0.001377,             0.99755,             0.33322,             0.46267,             0.37158,            0.028206,             0.22983,           0.0019728,            0.003565,            0.003565,            0.003565
                 132,            0.036365,             0.25139,           0.0013859,             0.99748,             0.33317,             0.43412,             0.35481,            0.027777,             0.22266,           0.0018937,           0.0035155,           0.0035155,           0.0035155
                 133,            0.035331,             0.24608,           0.0013282,             0.99682,             0.33322,             0.45116,             0.36852,            0.027578,             0.22181,           0.0018359,            0.003466,            0.003466,            0.003466
                 134,            0.035142,             0.24345,            0.001327,             0.99716,             0.33311,             0.46296,             0.37609,            0.027678,              0.2212,           0.0017528,           0.0034165,           0.0034165,           0.0034165
                 135,             0.03564,             0.24945,             0.00132,             0.99738,             0.33317,             0.49573,             0.39497,            0.027985,             0.23128,           0.0017541,            0.003367,            0.003367,            0.003367
                 136,            0.035267,             0.24333,           0.0012959,             0.99747,             0.33311,             0.51604,             0.41402,             0.02788,             0.22962,           0.0018288,           0.0033175,           0.0033175,           0.0033175
                 137,             0.03622,             0.24595,           0.0012786,             0.99756,             0.33302,             0.50725,             0.41111,            0.027792,             0.22116,           0.0018438,            0.003268,            0.003268,            0.003268
                 138,            0.034765,             0.23718,           0.0013536,             0.99739,             0.33317,             0.45638,             0.37001,            0.027726,             0.22484,           0.0018289,           0.0032185,           0.0032185,           0.0032185
                 139,            0.034898,              0.2452,           0.0013459,             0.99751,             0.33317,             0.51296,              0.4068,            0.027641,             0.22554,           0.0018232,            0.003169,            0.003169,            0.003169
                 140,            0.035503,             0.24597,           0.0013223,             0.55047,             0.38105,             0.51893,             0.40038,             0.02798,             0.23492,            0.001798,           0.0031195,           0.0031195,           0.0031195
                 141,            0.035571,             0.24646,           0.0013104,              0.9974,             0.33315,             0.50064,             0.40132,             0.02784,             0.22391,           0.0018322,             0.00307,             0.00307,             0.00307
                 142,            0.035248,             0.23956,           0.0013019,             0.53112,             0.36425,             0.52135,             0.41168,            0.027916,              0.2235,           0.0017864,           0.0030205,           0.0030205,           0.0030205
                 143,            0.035243,             0.24288,            0.001334,             0.50879,             0.37964,             0.49805,             0.39223,            0.027961,             0.22622,           0.0017863,            0.002971,            0.002971,            0.002971
                 144,            0.035537,             0.23898,           0.0012921,             0.43059,             0.37195,             0.48987,             0.38506,            0.028065,             0.22263,           0.0017989,           0.0029215,           0.0029215,           0.0029215
                 145,            0.034184,             0.23529,           0.0012843,             0.54587,             0.41471,             0.49633,             0.39217,            0.027949,              0.2219,           0.0017458,            0.002872,            0.002872,            0.002872
                 146,            0.035306,             0.24106,            0.001316,             0.53944,             0.41821,             0.54813,             0.43275,            0.028276,             0.23481,           0.0017673,           0.0028225,           0.0028225,           0.0028225
                 147,            0.035144,              0.2399,           0.0013104,             0.49241,             0.41699,             0.51149,             0.40286,            0.027981,             0.22525,           0.0017086,            0.002773,            0.002773,            0.002773
                 148,             0.03492,             0.23326,           0.0012697,             0.49084,              0.4184,             0.52863,             0.41399,            0.028097,             0.23142,           0.0016903,           0.0027235,           0.0027235,           0.0027235
                 149,            0.035047,             0.23989,           0.0012428,             0.44193,             0.41821,             0.48133,              0.3881,            0.027349,             0.22173,           0.0016976,            0.002674,            0.002674,            0.002674
                 150,            0.035203,             0.24042,           0.0012456,             0.50122,             0.43274,             0.54569,             0.42403,              0.0279,             0.23663,           0.0016904,           0.0026245,           0.0026245,           0.0026245
                 151,            0.035076,             0.23352,           0.0012853,             0.51479,             0.40545,             0.53786,              0.4274,             0.02833,             0.24165,            0.001696,            0.002575,            0.002575,            0.002575
                 152,            0.035029,             0.24464,           0.0012042,             0.53882,             0.41816,              0.5288,             0.41857,            0.027697,             0.22314,           0.0016451,           0.0025255,           0.0025255,           0.0025255
                 153,            0.034702,             0.23581,           0.0012434,             0.48882,             0.41631,             0.54412,             0.43335,            0.027455,             0.21619,           0.0016345,            0.002476,            0.002476,            0.002476
                 154,            0.035098,             0.24574,           0.0011932,             0.50223,             0.43103,              0.5354,             0.42502,            0.027735,              0.2224,           0.0016321,           0.0024265,           0.0024265,           0.0024265
                 155,            0.034587,             0.23589,           0.0011606,             0.50513,             0.41366,             0.52663,             0.41652,            0.027685,             0.22736,           0.0016255,            0.002377,            0.002377,            0.002377
                 156,            0.034912,             0.23831,           0.0011824,              0.3823,             0.40545,             0.52319,             0.41174,             0.02773,             0.22903,           0.0015929,           0.0023275,           0.0023275,           0.0023275
                 157,            0.034195,             0.23726,           0.0011541,             0.44725,             0.41827,             0.54507,             0.42576,            0.027637,             0.22219,           0.0015578,            0.002278,            0.002278,            0.002278
                 158,            0.034614,             0.23754,           0.0011379,             0.45695,             0.43109,             0.54816,             0.43125,             0.02762,             0.22178,           0.0015617,           0.0022285,           0.0022285,           0.0022285
