                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.44333,                0.22497,                0.83678,                0.98781,                0.93009,                0.96811,                0.74739,                0.63218,                0.25319,                0.86511,             0.00050548,             0.00050548,             0.00050548
                     62,                0.42323,                0.22245,                0.82438,                0.95541,                0.94619,                0.96765,                0.72448,                0.65299,                0.25337,                0.87921,             0.00050194,             0.00050194,             0.00050194
                     63,                0.46191,                0.22962,                0.84085,                0.99342,                0.95548,                 0.9717,                 0.7486,                0.63392,                0.24616,                 0.8682,             0.00049841,             0.00049841,             0.00049841
                     64,                0.44306,                0.22501,                0.83594,                0.75603,                      1,                0.78044,                0.62282,                0.59116,                0.24552,                0.85495,             0.00049487,             0.00049487,             0.00049487
                     65,                0.44303,                0.22202,                0.83324,                0.99792,                 0.9566,                0.98875,                0.77275,                0.63921,                0.24419,                0.86245,             0.00049134,             0.00049134,             0.00049134
                     66,                0.43003,                0.22372,                0.83445,                0.96988,                0.99799,                0.99341,                 0.7653,                0.60942,                  0.245,                0.86637,              0.0004878,              0.0004878,              0.0004878
                     67,                0.44247,                0.22288,                0.83579,                0.98345,                0.97756,                 0.9903,                 0.7475,                0.63464,                 0.2447,                0.86847,             0.00048427,             0.00048427,             0.00048427
                     68,                 0.4287,                0.22183,                0.82679,                0.98013,                0.92916,                0.97991,                0.77095,                0.62364,                0.24185,                0.86487,             0.00048074,             0.00048074,             0.00048074
                     69,                0.41409,                0.21619,                0.82368,                0.97426,                0.95533,                0.98007,                0.76947,                0.64411,                0.24185,                0.87383,              0.0004772,              0.0004772,              0.0004772
                     70,                0.41737,                0.21831,                0.82037,                0.98234,                0.97557,                0.97844,                0.76022,                0.59449,                0.23487,                0.85789,             0.00047367,             0.00047367,             0.00047367
                     71,                 0.4408,                 0.2276,                 0.8367,                0.99265,                0.95533,                0.97896,                0.75486,                0.56301,                0.22764,                0.84291,             0.00047013,             0.00047013,             0.00047013
                     72,                0.42449,                0.22178,                0.83454,                0.96315,                 0.9777,                0.98234,                0.75679,                0.64278,                0.25263,                 0.8737,              0.0004666,              0.0004666,              0.0004666
                     73,                0.43516,                0.22291,                0.82766,                0.98121,                0.95295,                 0.9877,                0.78767,                0.64734,                0.24795,                0.87505,             0.00046306,             0.00046306,             0.00046306
                     74,                0.43002,                0.21987,                0.82654,                0.99348,                0.93224,                0.96729,                0.75909,                0.61425,                0.24693,                0.86273,             0.00045953,             0.00045953,             0.00045953
                     75,                0.43689,                0.22211,                0.82599,                0.98653,                0.95533,                0.97111,                 0.7789,                0.58181,                0.23637,                0.84555,               0.000456,               0.000456,               0.000456
                     76,                0.41802,                0.21608,                0.81965,                0.98297,                0.95533,                0.97614,                0.76922,                0.63932,                0.24122,                0.87505,             0.00045246,             0.00045246,             0.00045246
                     77,                0.43674,                0.21689,                 0.8317,                0.98291,                0.97756,                0.97614,                0.78576,                 0.6402,                 0.2411,                0.87972,             0.00044893,             0.00044893,             0.00044893
                     78,                0.40564,                0.20841,                0.82896,                0.96956,                0.93199,                0.97066,                0.78647,                0.54499,                0.22133,                 0.8354,             0.00044539,             0.00044539,             0.00044539
                     79,                0.43216,                0.21594,                0.83241,                0.97718,                0.94968,                0.97271,                0.75473,                0.63085,                0.24044,                0.86466,             0.00044186,             0.00044186,             0.00044186
                     80,                0.40104,                0.20693,                0.81929,                0.99215,                 0.9777,                0.98466,                0.78284,                0.61005,                0.23431,                0.86731,             0.00043832,             0.00043832,             0.00043832
                     81,                0.40621,                0.20721,                0.83035,                0.95689,                 0.9944,                0.98539,                0.76452,                0.62381,                0.23701,                0.86701,             0.00043479,             0.00043479,             0.00043479
                     82,                0.42879,                0.21829,                0.83188,                0.98062,                 0.9777,                0.97765,                0.78954,                0.58503,                0.23019,                0.84385,             0.00043126,             0.00043126,             0.00043126
                     83,                0.41127,                0.21406,                0.82443,                0.99175,                0.95455,                0.97739,                0.77346,                0.59343,                0.22959,                0.85532,             0.00042772,             0.00042772,             0.00042772
                     84,                0.39464,                0.20235,                0.82989,                0.98492,                0.97508,                0.98921,                 0.7742,                0.62726,                0.23912,                 0.8723,             0.00042419,             0.00042419,             0.00042419
                     85,                0.39228,                0.21062,                0.82092,                 0.9877,                0.97549,                0.98499,                0.79515,                0.56315,                0.22254,                0.84752,             0.00042065,             0.00042065,             0.00042065
                     86,                0.39974,                0.20883,                0.82456,                0.99424,                0.95526,                0.96988,                0.75086,                0.64163,                0.24205,                0.87593,             0.00041712,             0.00041712,             0.00041712
                     87,                0.39866,                0.20825,                 0.8239,                0.98154,                0.97587,                0.97749,                0.76588,                  0.621,                0.23849,                0.87101,             0.00041358,             0.00041358,             0.00041358
                     88,                0.39909,                0.20943,                0.82382,                0.95459,                0.93045,                0.96933,                0.76303,                0.60865,                0.23303,                0.85983,             0.00041005,             0.00041005,             0.00041005
                     89,                0.40356,                0.20736,                0.82748,                0.92189,                0.99197,                0.98234,                0.78334,                0.57425,                0.22219,                0.84956,             0.00040652,             0.00040652,             0.00040652
                     90,                0.37436,                 0.2002,                0.81335,                0.98125,                0.96563,                0.99163,                0.79112,                0.61275,                0.23128,                0.86374,             0.00040298,             0.00040298,             0.00040298
                     91,                0.37337,                 0.1991,                0.82243,                 0.9874,                0.95275,                0.98181,                 0.7948,                0.57397,                0.22548,                 0.8505,             0.00039945,             0.00039945,             0.00039945
                     92,                0.37962,                0.19467,                0.83261,                0.99207,                0.97512,                0.97581,                0.79071,                0.56331,                0.22079,                0.84906,             0.00039591,             0.00039591,             0.00039591
                     93,                0.37975,                 0.1983,                0.82325,                 0.9939,                0.97747,                0.98917,                0.79436,                0.57696,                0.22549,                0.85187,             0.00039238,             0.00039238,             0.00039238
                     94,                0.37763,                0.19845,                0.81548,                0.96566,                0.98856,                0.99497,                 0.7761,                0.63236,                0.23702,                0.87615,             0.00038884,             0.00038884,             0.00038884
                     95,                0.39285,                0.20762,                0.82467,                0.98586,                0.97497,                0.98686,                0.79796,                0.58378,                 0.2277,                0.85077,             0.00038531,             0.00038531,             0.00038531
                     96,                0.40027,                0.20765,                0.82448,                0.99417,                0.95533,                 0.9752,                0.75663,                0.58929,                0.22658,                0.85377,             0.00038178,             0.00038178,             0.00038178
                     97,                 0.3836,                 0.2022,                0.82805,                0.95937,                0.95265,                0.97775,                0.76616,                0.59361,                0.22736,                0.86013,             0.00037824,             0.00037824,             0.00037824
                     98,                0.38756,                 0.2024,                0.82485,                0.96934,                0.97407,                 0.9734,                0.78002,                0.62079,                0.23733,                0.86589,             0.00037471,             0.00037471,             0.00037471
                     99,                0.38283,                0.20152,                 0.8283,                0.98261,                0.95331,                0.97259,                0.76132,                 0.5966,                0.23185,                0.86306,             0.00037117,             0.00037117,             0.00037117
                    100,                0.37752,                0.19723,                0.81887,                0.99213,                0.93326,                0.97419,                0.77544,                0.62816,                0.23391,                0.87613,             0.00036764,             0.00036764,             0.00036764
                    101,                0.37446,                0.19668,                 0.8173,                0.98413,                0.95374,                0.97538,                 0.7738,                0.62335,                0.22999,                0.87126,              0.0003641,              0.0003641,              0.0003641
                    102,                0.36733,                 0.1952,                0.82135,                0.99698,                0.91096,                0.97588,                0.78871,                0.60275,                0.23092,                0.86225,             0.00036057,             0.00036057,             0.00036057
                    103,                0.38609,                0.20038,                0.82143,                0.89981,                0.93289,                0.94598,                0.73966,                0.56883,                0.22363,                0.84618,             0.00035704,             0.00035704,             0.00035704
                    104,                0.37446,                 0.1975,                0.81228,                0.98102,                0.95082,                0.97189,                 0.7961,                0.56314,                0.21812,                0.84632,              0.0003535,              0.0003535,              0.0003535
                    105,                0.39909,                0.20617,                0.83154,                0.95348,                0.96862,                0.99049,                0.74207,                0.64402,                0.24339,                0.87894,             0.00034997,             0.00034997,             0.00034997
                    106,                0.36279,                0.19379,                0.81999,                0.98651,                 0.9777,                0.99262,                0.79217,                0.63373,                0.23428,                 0.8769,             0.00034643,             0.00034643,             0.00034643
                    107,                0.37211,                0.19464,                 0.8152,                0.98602,                0.97181,                0.99144,                0.80865,                0.59552,                 0.2243,                0.85886,              0.0003429,              0.0003429,              0.0003429
                    108,                0.35048,                0.18717,                0.81864,                0.98522,                0.97598,                0.98437,                0.76761,                0.59975,                0.22984,                0.86852,             0.00033936,             0.00033936,             0.00033936
                    109,                0.35557,                0.18965,                0.82133,                0.96907,                0.93274,                0.97797,                0.79709,                0.53924,                0.21335,                0.84989,             0.00033583,             0.00033583,             0.00033583
                    110,                0.38354,                0.19632,                0.82287,                0.98312,                0.99634,                0.99442,                0.79678,                0.61321,                0.22954,                0.87105,              0.0003323,              0.0003323,              0.0003323
                    111,                0.35738,                0.19147,                 0.8193,                0.98488,                0.95348,                0.97377,                0.77751,                0.59427,                0.22482,                0.85884,             0.00032876,             0.00032876,             0.00032876
                    112,                 0.3796,                0.19679,                0.82291,                0.98444,                0.93256,                0.97391,                0.77396,                0.61447,                0.22797,                0.86931,             0.00032523,             0.00032523,             0.00032523
                    113,                0.35916,                0.19317,                0.81097,                0.99499,                0.91089,                  0.966,                0.76662,                0.56863,                 0.2236,                0.85222,             0.00032169,             0.00032169,             0.00032169
                    114,                 0.3732,                0.19529,                0.82067,                0.98046,                0.97211,                0.98405,                0.79935,                0.58949,                0.22577,                0.86197,             0.00031816,             0.00031816,             0.00031816
                    115,                0.36798,                0.19346,                0.81366,                0.99336,                0.95533,                0.98781,                0.78551,                 0.6113,                 0.2279,                0.86581,             0.00031462,             0.00031462,             0.00031462
                    116,                0.36621,                0.19107,                0.82646,                0.98181,                0.95335,                0.97271,                0.78297,                0.65213,                0.24148,                0.89199,             0.00031109,             0.00031109,             0.00031109
                    117,                0.35019,                0.18494,                0.81309,                0.98022,                0.95533,                0.98572,                0.78832,                0.61886,                0.22917,                0.87064,             0.00030756,             0.00030756,             0.00030756
                    118,                0.34193,                0.18431,                0.81235,                0.98955,                0.95533,                0.98349,                0.77044,                0.58924,                0.22371,                0.86897,             0.00030402,             0.00030402,             0.00030402
